reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
768cdb7b-4772-40f5-9ad8-8b6dbbe42d0f,Louie Rick Jaugan,https://play-lh.googleusercontent.com/a/ACg8ocLNScxhV6lySrNBnPRAsQHn0jd7BlCCfzEUz7_SBmFoYL_coQ=mo,there's no fee trial anymore,1,0,9.15.1 build 11 62624,2025-05-20 07:34:10,,,9.15.1 build 11 62624
da881958-199d-4f4a-8150-d9e0733efbff,ditismita Kalita,https://play-lh.googleusercontent.com/a/ACg8ocL6ioUqzmKylZz3bd-NwA4yiMmY5KpcVddl697tfryCpH_aJA=mo,fantastic,5,0,9.15.1 build 11 62624,2025-05-20 06:44:09,,,9.15.1 build 11 62624
c19fd419-2b12-43e2-8a99-c1ecc1654929,aman kumar Yadav,https://play-lh.googleusercontent.com/a-/ALV-UjXyIvGOQERvnHpDrebDnbBD3LUgGPoQ_IGT3qq_YLFT4rRJ7XMwNQ,nice,5,0,9.11.1 build 10 62492,2025-05-20 06:42:31,,,9.11.1 build 10 62492
24153651-81b0-4045-a38a-e567a4b29958,Sorna Meena,https://play-lh.googleusercontent.com/a/ACg8ocJu_5Cu62nn8bYx-KB8Sqx0EHUdRzaOxp_Tg0ecl4b8YAV83w=mo,nice day and night 🌙 ☺️ 😊,5,0,,2025-05-20 06:31:55,,,
fa22ff6c-f28c-4050-9124-c75a3c17127b,Elisha Stella,https://play-lh.googleusercontent.com/a/ACg8ocLp891PkjmBRSO89XoPfqZs5vQXXvkSpvFlSwOUEBznppzWhQ=mo,I start using Netflix since I had phone and I love the series there,4,0,,2025-05-20 06:31:10,,,
8a63d9df-6026-4fcc-81d1-3df0729ca3f2,Jose Navarro,https://play-lh.googleusercontent.com/a/ACg8ocLa_Q9HTydhAonTy7_vc1Obn1Umpln3_mv7a6uqDyvfVwnnCIyQ=mo,Terrible service. App overrides my brightness settings,1,8,9.15.1 build 11 62624,2025-05-20 05:37:57,,,9.15.1 build 11 62624
944ff4c3-18fd-4e2d-95ae-f39770e9ddbc,Meghana Srinivas,https://play-lh.googleusercontent.com/a-/ALV-UjUBVnRx3wnjFib_BXglLbXVgpCl32ao7yziQsTpj8V4FdUitYJN,nice,5,0,9.15.1 build 11 62624,2025-05-20 05:35:53,,,9.15.1 build 11 62624
6dd8e504-1e85-4197-8a26-f0a8bec799b6,Erika Hazeel,https://play-lh.googleusercontent.com/a-/ALV-UjVJvTVPIzl-yaQVUqkiucB20dbEU6wKmUXW-4FFQx6njt4rhCEU,어떻게 사용하고 영화 너무 - how use this app ?,5,0,9.15.1 build 11 62624,2025-05-20 05:14:00,,,9.15.1 build 11 62624
d521dedc-38f2-4b28-8257-fd023a0cddbc,Biswajit Singha,https://play-lh.googleusercontent.com/a/ACg8ocKwcncgPe4z4wp6XfJyNcvnSI8NXmrCv6DufxGUhpgbz741MA=mo,useful app,5,0,9.9.1 build 9 62416,2025-05-20 04:57:57,,,9.9.1 build 9 62416
3891f682-4165-4efd-b5c4-9823b02d68dc,Bisoye Folawiyo,https://play-lh.googleusercontent.com/a-/ALV-UjVNoNkmVEONyT21K8jcNVF1gc5CQIRILfIN4cckgEOFw4zV16Y,perfect,5,0,9.4.1 build 4 62196,2025-05-20 04:51:54,,,9.4.1 build 4 62196
5b2b0be2-8528-45cb-b0bf-bb5f36fadc9b,Ezekiel Adeiza,https://play-lh.googleusercontent.com/a/ACg8ocKwnyydj5ybnHk7Lb64dTUukoceqGR1kqBDYaVqBy6Za7LOXg=mo,nice app,5,0,,2025-05-20 04:42:40,,,
f4f3ee3a-db58-41eb-9744-be0f9a32629f,Sheikh Rahman,https://play-lh.googleusercontent.com/a-/ALV-UjVM9Ez9T64_XMPgeokPwr6VLaxsTlbKgdOquTqMk6C4-xeMzTg,Best Service,5,0,9.14.0 build 9 62572,2025-05-20 04:39:44,,,9.14.0 build 9 62572
eec2f422-46d5-4df4-a7af-1ac998868176,paramesh Babu,https://play-lh.googleusercontent.com/a/ACg8ocL7FU7PXWwRLeLLMoUflMufAFPXFyfOvTAMyktIm1FeWSY_Pg=mo,"I've been using the Netflix app for a while. It would be great if there was an option to add the audio language I want, even if the movie isn't originally in that language.",3,0,9.15.1 build 11 62624,2025-05-20 04:24:35,,,9.15.1 build 11 62624
5da5c048-04f2-471b-b21c-819e8b34ad6d,Doug Kyle,https://play-lh.googleusercontent.com/a/ACg8ocKcE6u0h94EgBw-GXgMQk2L-0ihb9G5hDVNK8TACCUBmdwTqQ=mo,I follow the troubleshooting and still have no video...,1,0,9.15.1 build 11 62624,2025-05-20 04:20:54,,,9.15.1 build 11 62624
5b7d0a50-bfd0-4687-96fd-d5a5f8b27f7c,HyunJae 914,https://play-lh.googleusercontent.com/a-/ALV-UjXBqKntG5_bz_ckzHkv5zBTEANOV-INB5vvJQzLQ0Y-6o8e20E,Stupid app won't let me watch anything. Just a black screen and super long loading times. Definitely not a problem wohh the internet or my phone. I tried everything that I can think of but still not working. Waste of money if I can't watch anything. The chat support isn't very helpful also. They don't respond. Might cancel next month,1,0,9.15.1 build 11 62624,2025-05-20 04:12:37,,,9.15.1 build 11 62624
4daf55e6-3d8a-4811-af01-4989b8e52a98,Adam Kiewel,https://play-lh.googleusercontent.com/a/ACg8ocIDGaA9oLNQH7t89ObTkwyCumghwUSqsa7XLlBsRFCR5fK6=mo,"why do streaming services lose your place, then make you watch a half dozen ads just to get back to where it should have already placed you?",1,0,7.87.2 build 16 35298,2025-05-20 04:11:58,,,7.87.2 build 16 35298
bc84add6-f072-46e0-952a-328f2229a0ce,Rishab Khatik,https://play-lh.googleusercontent.com/a/ACg8ocIPqAp6dk_2W2vTLvYtrZhlyZJP06tvp9-3C97eVGUb2I9eLA=mo,very nice,5,0,9.14.0 build 9 62572,2025-05-20 04:11:23,,,9.14.0 build 9 62572
62cb0417-f8cc-4079-b7c6-bc47a8d7d1ba,ihavenoidea_01,https://play-lh.googleusercontent.com/a-/ALV-UjUxy09-uPvke_m7hvEPvLVh6oo3XtPLtu_fob6OqKhgQQ-8D3Aq,too expensive. not worth much,1,0,9.15.1 build 11 62624,2025-05-20 04:03:16,,,9.15.1 build 11 62624
5b2132e5-c747-4e21-afd3-5d38ded227e5,Jaslyn Cabigayan,https://play-lh.googleusercontent.com/a-/ALV-UjVi56Dj8whWgL5qoKrE948Uwjh7xmX3BZKpnmrC1qyZ2rqmcfEL,I love watching netflix it helps me relieve my stress,5,0,9.15.1 build 11 62624,2025-05-20 04:01:03,,,9.15.1 build 11 62624
b5824e44-4602-427d-9ca6-24bf31a96b3d,Shivagiri Maddela,https://play-lh.googleusercontent.com/a-/ALV-UjV3_p5u8OVLtnCMzVfcBIqi0s-xDaoZKWVF2SS6teNGdM3wHco,"Worst streaming service experience ever. Recently, I have billed my Netflix for basic module that costed at 199rs/month on 6 may 2025 but it expired unexpectedly in 15 days on 19 may 2025. Which literally made me outrageous and there was no proper response from the helpdesk. Skip this platform.... i would give it a zero stars but it is not possible in the playstore.",1,0,9.15.1 build 11 62624,2025-05-20 03:58:39,,,9.15.1 build 11 62624
ebc1bd56-05db-4d92-8a7f-1a08a9435980,Armazel Apostol,https://play-lh.googleusercontent.com/a-/ALV-UjV8NnK1n2-c1RZ6JgqpEBrBRF0arMuuxpmDDh6CwZ15BiQQpvLl,"it's my first time using this but, there's so many manyyyy things to do to sign in, like what💀 and the password I enter is correct but it keeps rejecting. do the developers even have a common sense?😭 I will never try this ever again, not even a single tutorial of how to sign in if you get issues 🙏🙏🙏😭😭😭😭 nevermind, money greedy app, you just want to get rich 💀 you probably roast ""poor people"" that can't buy. For the people who are poor don't download this🙏",1,0,9.15.1 build 11 62624,2025-05-20 03:55:36,,,9.15.1 build 11 62624
836f6262-cf9b-4df9-9502-2f40d997b89f,Antony Ajay,https://play-lh.googleusercontent.com/a-/ALV-UjW-umVnbxk4sE577LfCKnRwRLNr9kgz3yFr72OzceAnX4Ig21s,"*FRUSTRATED* Been a user since December 2024. I really enjoyed the experience so far but this month ( May 2025 ) I cannot access my account. There is a pop up saying ""your membership is paused please add your payment information to continue streaming"". This was shocking because I activated upi auto pay at my membership start itself. For the past five months there was no issue. This month even though the payment is done, the app is asking for an update payment. Really disappointed with netflix.0⭐",1,0,9.15.1 build 11 62624,2025-05-20 03:51:37,,,9.15.1 build 11 62624
2cf3dffd-fcb0-4584-9575-2fdc5b1f59b9,marvs basabe,https://play-lh.googleusercontent.com/a/ACg8ocLAKY0cnOe8ONHNNrBZVWMxxtlvCf_BJhG8W6uFcQsRFocl2Q=mo,"is there a movie ""final destination""?",1,0,,2025-05-20 03:48:12,,,
22c75466-14c8-4340-b325-831b9f6b2f4a,Çynthia Salas,https://play-lh.googleusercontent.com/a/ACg8ocJYCScxggCYysF8XyLD8K-n7WeDvJdJIXn8ehLDuPNBllvJOw=mo,the. movie. monster,3,0,,2025-05-20 03:38:31,,,
79db1b1c-0dbe-4b90-b4c1-1d0e33eea3fe,Arun Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjXCr16HoAWiANZ6Y7FLftpoJidf52AYykxXrd5ePqR4dvWwzgUh,Average,5,0,8.139.3 build 31 51120,2025-05-20 03:35:10,,,8.139.3 build 31 51120
e1d3dc2a-c1e7-40c5-8c58-7d7ccfd02694,Ronnie Rethero,https://play-lh.googleusercontent.com/a-/ALV-UjVmeQjHWomD4v_9HnysI1t5mGEVmqyn7Mkou4cgzET-JCZcGZRU,ok,5,0,9.15.1 build 11 62624,2025-05-20 03:28:00,,,9.15.1 build 11 62624
72cf4164-cfc8-400e-8b91-8b5a32b7b46b,Suraj Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjXg63xtiGWsungG8oW5mA9XyjOiWz4MY9E7slXLT4UVHURG0Yl2,bed app,1,0,9.15.1 build 11 62624,2025-05-20 03:07:29,,,9.15.1 build 11 62624
be25e57a-b418-4701-a91a-dc7551dc3026,abishek Khadka,https://play-lh.googleusercontent.com/a-/ALV-UjW-VIZVchn9lxMXXZ_P_kKdSSQO353JoR873zotmpjVIBqyRsYR,this app is good,5,0,,2025-05-20 03:05:03,,,
ce1a45cf-4002-4e8c-ac2a-9d30d9c8aaa1,Ama Nhyira Obeng,https://play-lh.googleusercontent.com/a/ACg8ocK3aArEwmYzsUtAK5-pTEA4ti0AhlEONm7mVyPcAN24m7HQKA=mo,Very good love everything,5,0,8.59.1 build 12 50370,2025-05-20 02:44:41,,,8.59.1 build 12 50370
adc8f098-25f6-41b3-b9b0-8064e15b328d,Tyeson Romphf,https://play-lh.googleusercontent.com/a/ACg8ocIJxGaGh12F5MwVD-B4MHpihttj5z5q5y2g_3TZT5bd2AxOFA=mo,Netflix You have 2 weeks to add the rest of the Naruto seriesi'm coming for you and doing it myself.,5,0,9.15.1 build 11 62624,2025-05-20 02:16:09,,,9.15.1 build 11 62624
97e2cc8f-f1c5-4aa3-ae30-37cc2fbe0a92,Nhlamuselo Nhlangwana,https://play-lh.googleusercontent.com/a-/ALV-UjXx0mGL63PD6m9psgU38DxZmOK4ATVUvLRKBwFq3Tu9HTctTgs,🔥🔥🔥,5,0,8.116.0 build 8 50690,2025-05-20 01:55:11,,,8.116.0 build 8 50690
